City,Street,Lat,Long,Region,Partner,Bonus,Materials
Санкт-Петербург,"Санкт-Петербург, г Санкт-Петербург, ш Выборгское, 296","60,087729","30,260725",Санкт-Петербург,Муниципалитет,Бонусов нет,Пластик; Бумага; Стекло
Саратов,"Саратовская область, г Саратов, ул им Шехурдина А.П., 48","51,5908","45,9586",Саратовская область,Муниципалитет,Бонусов нет,Пластик; Бумага; Стекло
Тверь,"Тверская область, г Тверь, ул Хромова, 84",56,35,Тверская область,Муниципалитет,Бонусов нет,Пластик; Бумага; Стекло
Тольятти,"Самарская область, г Тольятти, ул Матросова, 60","53,486588","49,474385",Самарская область,Муниципалитет,Бонусов нет,Пластик; Бумага; Стекло
Тула,"Тульская область, г Тула, ш Одоевское, 78","54,7833","37,1006",Тульская область,Муниципалитет,Бонусов нет,Пластик; Бумага; Стекло
Тюмень,"Тюменская область, г Тюмень, ул Максима Горького, 28","57,1542","65,5711",Тюменская область,Муниципалитет,Бонусов нет,Пластик; Бумага; Стекло
Тюмень,"Тюменская область, г Тюмень, ул Холодильная, 132","57,14","65,5592",Тюменская область,Муниципалитет,Бонусов нет,Пластик; Бумага; Стекло
Уфа,"Республика Башкортостан, г Уфа, ул Блюхера, 38 1","54,790325","56,031733",Республика Башкортостан,Муниципалитет,Бонусов нет,Пластик; Бумага; Стекло
Уфа,"Республика Башкортостан, г Уфа, ул Уфимское шоссе, 17","54,7861","56,0519",Республика Башкортостан,Муниципалитет,Бонусов нет,Пластик; Бумага; Стекло
Хабаровск,"Хабаровский край, г Хабаровск, ул Краснореченская, 209","48,450257","135,106245",Хабаровский край,Муниципалитет,Бонусов нет,Пластик; Бумага; Стекло
Челябинск,"Челябинская область, г Челябинск, ул Игуменка, 149","55,10981","61,409299",Челябинская область,Муниципалитет,Бонусов нет,Пластик; Бумага; Стекло
Ярославль,"Ярославская область, г Ярославль, ул Песочная, 1","57,6029","39,8859",Ярославская область,Муниципалитет,Бонусов нет,Пластик; Бумага; Стекло
Астрахань,"Астраханская область, г Астрахань, ул Свердлова, 34",46,48,Астраханская область,Муниципалитет,Бонусов нет,Пластик; Бумага; Стекло
Барнаул,"Алтайский край, г Барнаул, ул Власихинская, 156","53,328011","83,684461",Алтайский край,Муниципалитет,Бонусов нет,Пластик; Бумага; Стекло
Волгоград,"Волгоградская область, г Волгоград, ул им Кирова, 23","48,5889","44,4267",Волгоградская область,Муниципалитет,Бонусов нет,Пластик; Бумага; Стекло
Воронеж,"Воронежская область, г Воронеж, ул Октябрьская, 120","51,557431","39,061517",Воронежская область,Муниципалитет,Бонусов нет,Пластик; Бумага; Стекло
Иваново,"Ивановская область, г Иваново, ул Минская, 122","57,0467","40,9733",Ивановская область,Муниципалитет,Бонусов нет,Пластик; Бумага; Стекло
Ижевск,"Удмуртская республика, г Ижевск, ул Майская, 9","56,8694","53,2117",Удмуртская республика,Муниципалитет,Бонусов нет,Пластик; Бумага; Стекло
Иркутск,"Иркутская область, г Иркутск, ул Пискунова, 63","52,27","104,3147",Иркутская область,Муниципалитет,Бонусов нет,Пластик; Бумага; Стекло
Казань,"Республика Татарстан, г Казань, ул Динамо, 13","55,84427","49,204729",Республика Татарстан,Муниципалитет,Бонусов нет,Пластик; Бумага; Стекло
Казань,"Республика Татарстан, г Казань, ул Юго-Западная 2-я, 34","55,822033","49,084064",Республика Татарстан,Муниципалитет,Бонусов нет,Пластик; Бумага; Стекло
