CodeFKKO,WasteName,OriginWaste,TechnologicalProcess,CompositionWaste,CompositionMin,CompositionMax,StateOfAggregation,HazardClass,Note
4 72 160 99 31 1,"отходы прочих масел, содержащих полихлорированные дифенилы и терфенилы",,Использование по назначению с утратой потребительских свойств ,"Полихлорированные дифенилы
Полихлорированные  терфенилы",,,жидкое в жидком (эмульсия),І,Состав отхода  уточняет производитель отхода по сопроводительным документам на продукцию
4 72 301 01 31 2,"отходы масел трансформаторных и теплонесущих, содержащих галогены",,Использование по назначению с утратой потребительских свойств ,,,,жидкое в жидком (эмульсия),II,Состав отхода  уточняет производитель отхода по сопроводительным документам на продукцию
4 72 302 01 31 2,"отходы масел гидравлических, содержащих галогены и потерявших потребительские свойства",,Использование по назначению с утратой потребительских свойств ,,,,жидкое в жидком (эмульсия),II,Состав отхода  уточняет производитель отхода по сопроводительным документам на продукцию
4 81 201 01 52 4,"системный блок компьютера, утративший потребительские свойства",,Использование по назначению с утратой потребительских свойств ,,,,изделия из нескольких материалов,ІV,
4 81 202 01 52 4,"принтеры, сканеры, многофункциональные устройства (МФУ), утратившие потребительские свойства",,Использование по назначению с утратой потребительских свойств ,,,,изделия из нескольких материалов,ІV,
4 81 203 01 52 3,картриджи печатающих устройств с содержанием тонера 7 % и более отработанные ,,Использование по назначению с утратой потребительских свойств ,Тонер,7,,изделия из нескольких материалов,ІІІ,
4 81 203 02 52 4,картриджи печатающих устройств с содержанием тонера менее 7 % отработанные ,,Использование по назначению с утратой потребительских свойств ,Тонер,,<7,изделия из нескольких материалов,ІV,
4 81 204 01 52 4,"клавиатура, манипулятор «мышь» с соединительными проводами, утратившие потребительские свойства",,Использование по назначению с утратой потребительских свойств ,,,,изделия из нескольких материалов,ІV,
4 81 205 02 52 4,"мониторы компьютерные жидкокристаллические, утратившие потребительские свойства, в сборе",,Использование по назначению с утратой потребительских свойств ,,,,изделия из нескольких материалов,ІV,
4 82 201 01 53 2,химические источники тока литиевые тионилхлоридные неповрежденные отработанные,,Использование по назначению с утратой потребительских свойств ,,,,"изделия, содержащие жидкость",II,"В состав отхода может входить: литий металлический, магний, тионил хлорид, алюминия хлорид, лития хлорид, углерод, смола эпоксидная, различные виды пластмасс."
4 82 201 11 53 2,химические источники тока марганцево-цинковые щелочные неповрежденные отработанные,,Использование по назначению с утратой потребительских свойств ,,,,"изделия, содержащие жидкость",II,"В состав отхода могут входить: цинк металлический, калия оксид, цинка оксид, марганца диоксид, сталь никелированная, углерод, латунь, целлофан,   целлюлоза, загуститель коррозии, связующее."
4 82 211 02 53 2,"аккумуляторы компьютерные кислотные, неповрежденные отработанные 
",,Использование по назначению с утратой потребительских свойств ,Серная кислота,,,"изделия, содержащие жидкость",II,
4 82 302 01 52 5,отходы изолированных проводов и кабелей,,Использование по назначению с утратой потребительских свойств ,,,,изделия из нескольких материалов,V,"К данному виду отхода следует относить провода и кабели, имеющие изоляцию на основе полимеров (за исключением галогенсодержащих), резины, волокнистых материалов (шёлк, хлопок), бумаги."
4 82 303 01 52 5,"провод медный эмалированный, утративший потребительские свойства",,Использование по назначению с утратой потребительских свойств ,"Медь
Эмаль",,,изделия из нескольких материалов,V,
4 82 304 01 52 3,"провод медный, покрытый никелем, утративший потребительские свойства",,Использование по назначению с утратой потребительских свойств ,"Медь
Никель",,,изделия из нескольких материалов,ІІІ,
4 82 304 02 52 3,"провод медный  в изоляции из поливинилхлорида, утративший потребительские свойства",,Использование по назначению с утратой потребительских свойств ,"Медь
Поливинилхлорид",,,изделия из нескольких материалов,ІІІ,
4 82 305 01 52 2,"кабель медно-жильный освинцованный, утративший потребительские свойства",,Использование по назначению с утратой потребительских свойств ,"Медь
Свинец
",,,изделия из нескольких материалов,ІІ,
4 82 411 00 52 5,"лампы накаливания, утратившие потребительские свойства",,Использование по назначению с утратой потребительских свойств ,,,,изделия из нескольких материалов,V,
4 82 421 01 52 3,светильник шахтный головной в комплекте ,,Использование по назначению с утратой потребительских свойств ,,,,изделия из нескольких материалов,ІІІ,
4 89 221 11 52 4,"огнетушители самосрабатывающие порошковые, утратившие потребительские свойства",,Использование по назначению с утратой потребительских свойств ,,,,изделия из нескольких материалов,ІV,
4 91 101 01 52 5,"каски защитные пластмассовые, утратившие потребительские свойства",,Использование по назначению с утратой потребительских свойств ,,,,изделия из нескольких материалов,V,
4 91 102 01 52 4,"коробки фильтрующе-поглощающие противогазов, утратившие потребительские свойства",,Использование по назначению с утратой потребительских свойств ,,,,изделия из нескольких материалов,ІV,
4 91 102 02 49 4,уголь активированный отработанный из фильтрующе-поглощающих коробок противогазов,,Использование по назначению с утратой потребительских свойств ,Уголь активированный,,,прочие сыпучие материалы,ІV,"В состав отхода могут входить адсорбированные химические вещества, которые устанавливаются по результатам химического анализа."
4 91 191 01 52 3,"самоспасатели шахтные, утратившие потребительские свойства",,Использование по назначению с утратой потребительских свойств ,,,,изделия из нескольких материалов,ІІІ,
6 11 100 01 40 4,зола от сжигания угля малоопасная,Сжигание угля,Улавливание летучей золы  ,"Диоксид кремния
Оксид алюминия
Оксиды железа
",,,твердые сыпучие материалы ,IV,"Компонентный состав указан в форме оксидов.
Содержание компонентов определяется месторождением, маркой угля; условиями его сжигания.
В состав отхода могут входить оксиды кальция, магния, калия, натрия, фосфора, титана, серы"
6 11 200 01 21 4,шлак от сжигания угля малоопасный,Сжигание угля,Удаление топливного шлака,"Диоксид кремния
Оксид алюминия
Оксиды железа
",,,кусковая форма,IV,"Компонентный состав указан в форме оксидов.
Состав и содержание компонентов определяется месторождением, маркой угля; условиями его сжигания
В состав отхода могут входить оксиды кальция, магния, калия, натрия, фосфора, серы, титана, марганца, хрома"
6 11 300 02 20 5,золошлаковая смесь от сжигания углей при гидроудалении золы-уноса и топливных шлаков практически неопасная,Сжигание угля,Совместное гидроудаление золы-уноса и топливных шлаков,"Диоксид кремния
Оксид алюминия
Оксиды железа
",,,твердое ,V,"Компонентный состав указан в форме оксидов.
В состав отхода могут входить оксиды калия, кальция, магния, натрия, титана и др."
6 11 400 01 20 4,золошлаковая смесь от сжигания углей малоопасная,Сжигание угля,Совместное удаление топливного шлака и золы,"Диоксид кремния
Оксид алюминия
Оксиды железа
",,,твердое ,IV,"Компонентный состав указан в форме оксидов.
Состав и содержание компонентов определяется месторождением, маркой угля; условиями его сжигания
В состав отхода могут входить оксиды кальция, магния, калия, натрия, фосфора, титана, серы
Отход образуется при сжигании углей Березовского месторождения"
6 11 400 02 20 5,золошлаковая смесь от сжигания углей практически неопасная,Сжигание угля,Совместное удаление топливного шлака и золы,"Диоксид кремния
Оксид алюминия
Оксиды железа
",,,твердое ,V,"Компонентный состав указан в форме оксидов.
Состав и содержание компонентов определяется месторождением, маркой угля; условиями его сжигания
В состав отхода могут входить оксиды кальция, магния, калия, натрия, фосфора, титана, серы
Отход образуется при сжигании углей: Башкирского бурого, Ирша-Бородинского, Назаровского"
6 11 900 01 40 4,зола от сжигания древесного топлива умеренно опасная,Сжигание древесного топлива ,Золоудаление,"Кальций
Калий
Фосфор
Углерод",,,твердые сыпучие материалы ,IV,"Состав и содержание компонентов зависит от видов дресного топлива, пород древесины"
6 11 900 02 40 5,зола от сжигания древесного топлива практически неопасная,Сжигание древесного топлива ,Золоудаление,"Кальций
Калий
Фосфор
Углерод",,,твердые сыпучие материалы ,V,"Состав и содержание компонентов зависит от видов дресного топлива, пород древесины"
6 11 900 03 40 4,зола от сжигания торфа,Сжигание торфа ,Золоудаление,,,,твердые сыпучие материалы ,IV,
6 11 910 01 49 4,зола от сжигания лузги подсолнечной ,Сжигание лузги подсолнечной,Золоудаление,Диоксид кремния,,,прочие сыпучие материалы,IV,"Может содержать оксиды и соли калия, кальция, фосфора, железа и др."
6 11 910 02 49 5,зола от сжигания лузги рисовой,Сжигание лузги рисовой,Золоудаление,"Диоксид кремния
",80,,прочие сыпучие материалы,V,"Может содержать оксиды калия, натрия, алюминия, железа и др. "
6 18 901 01 20 5,отходы при очистке котлов от накипи,"Очистка оборудования ТЭС, ТЭЦ, котельных",Очистка основного оборудования (котлов) от накипи и отложений ,"Оксид кальция
Оксид натрия
Оксид калия
Оксид алюминия
Гидроксид магния
Оксиды железа

",,,твердое ,V,Компонентный состав указан в форме оксидов
6 18 902 01 20 3,"золосажевые отложения при очистке оборудования ТЭС, ТЭЦ, котельных умеренно опасные","Очистка оборудования ТЭС, ТЭЦ, котельных","Снятие золосажевых отложений с наружных поверхностей нагрева котлоагрегатов, газоходов","Углерод
Диоксид кремния",,,твердое ,III,"Может содержать оксиды ванадия, никеля, железа, алюминия, марганца, хрома, меди, титана; нефтепродукты"
6 18 902 02 20 4,"золосажевые отложения при очистке оборудования ТЭС, ТЭЦ, котельных малоопасные","Очистка оборудования ТЭС, ТЭЦ, котельных ","Снятие золосажевых отложений с наружных поверхностей нагрева котлоагрегатов, газоходов","Углерод
Диоксид кремния",,,твердое ,IV,"Может содержать оксиды ванадия, никеля, железа, алюминия, марганца, хрома, меди, титана; нефтепродукты"
6 21 100 01 71 5,мусор с защитных решеток гидроэлектростанций,Забор воды в водоприемники гидроэлектростанций,Механическая очистка воды защитными решетками,,,,смесь твердых материалов (включая волокна),V,"В состав отхода могут входить: растительные остатки, камни, бумага, полиэтилен, прочее"
6 91 322 01 21 4,"гравийная засыпка маслоприемных устройств маслонаполненного электрооборудования, загрязненная нефтепродуктами (содержание нефтепродуктов менее 15%)","Производство, передача, распределение электроэнергии",Замена гравийной засыпки маслоприемных устройств электрооборудования ,"Щебень
Нефтепродукты",,"
<15",кусковая форма,IV,"Может содержать песок, растительные остатки"
7 44 941 11 39 4,"отходы нейтрализации и известкования сточных вод аффинажного производства, содержащие гидроксиды тяжелых металлов (суммарное содержание в пересчете на металлы не более 2,5%)",Обезвреживание сточных вод аффинажного производства,Очистка раствора от тяжелых металлов методом известкования ,"Гидрокид железа
Сульфат кальция
Вода",,,твердое в жидком (паста),IV,"Содержит гидроксиды меди, алюминия; может содержать в следовых количествах - хром, кобальт, мышьяк и другие тяжелые металлы"
7 47 101 01 42 4,пыль газоочистки узлов перегрузки твердых коммунальных отходов,Перегрузка твердых коммунальных отходов,Очистка отходящих газов узлов перегрузки твердых коммунальных отходов,,,,пыль,IV,"В состав отхода могут входить диоксид кремния, металлы, полимерные материалы"
7 47 211 01 40 4,твердые остатки от сжигания нефтесодержащих отходов,Сжигание нефтесодержащих отходов,Удаление остатков от сжигания,,,,твердые сыпучие материалы ,IV,"Компонентный состав  зависит от исходного состава нефтесодержащих отходов, условий их сжигания"
7 47 301 01 39 4,осадок нейтрализации сернокислотного электролита,"Обезвреживание отходов, содержащих кислоты",Нейтрализация сернокислотного электролита,"Сульфат кальция
Вода",,,прочие дисперсные системы,IV,Может содержать сульфата свинца
7 47 621 11 20 3,плав солей при термическом обезвреживании жидких отходов производств борсодержащих соединений,Обезвреживание отходов производства борсодержащих соединений,Термическое обезвреживание жидких отходов производств борсодержащих соединений в печи сжигания,"Метаборат натрия
Хлорид натрия",,,твердое ,III,
7 47 813 01 40 4,зола от сжигания биологических отходов вивария и отходов содержания лабораторных животных,Сжигание в печи крематория биологических отходов вивария и отходов содержания лабораторных животных,"Удаление остатков (золы, пепла) от сжигания в печи крематория ",,,,твердые сыпучие материалы ,IV,
7 48 101 01 32 3,дождевые и талые воды с участка захоронения отходов производства ,Захоронение отходов производства,Сбор дождевых и талых вод с участков захоронения отходов производства,,,,твердое в жидком (суспензия),III,
8 11 100 01 49 5,"грунт, образовавшийся при проведении землеройных работ, не загрязненный опасными веществами",,Проведение землеройных работ,Грунт,,,прочие сыпучие материалы,V,
8 12 101 01 72 4,древесные отходы от сноса и разборки зданий,,Снос и разборка зданий,Древесина,,,смесь твердых материалов (включая волокна) и изделий,IV,
8 12 201 01 20 5,лом кирпичной кладки от сноса и разборки зданий,,Снос и разборка зданий,"Кирпич
Цемент
Песок",,,твердое ,V,
8 12 901 01 72 4,мусор от сноса и разборки зданий несортированный,,Снос и разборка зданий,,,,смесь твердых материалов (включая волокна) и изделий,IV,
8 19 100 01 49 5,отходы песка незагрязненные,,Подготовка строительного участка,Песок,,,прочие сыпучие материалы,V,
8 19 100 03 21 5,отходы строительного щебня незагрязненные,,Подготовка строительного участка,Щебень,,,кусковая форма,V,
8 21 101 01 21 5,"лом бортовых камней, брусчатки, булыжных камней и прочие отходы изделий из природного камня",,"Строительные, ремонтные работы",Природный камень,,,кусковая форма,V,
8 22 101 01 21 5,отходы цемента в кусковой форме,,"Строительные, ремонтные работы","Цемент
",,,кусковая форма,V,
8 22 201 01 21 5,"лом бетонных изделий, отходы бетона в кусковой форме",,"Строительные, ремонтные работы","Бетон

",,,кусковая форма,V,
8 22 301 01 21 5,"лом железобетонных изделий, отходы железобетона в кусковой форме",,"Строительные, ремонтные работы","Бетон
Железо
",,,кусковая форма,V,
8 22 401 01 21 4,отходы затвердевшего строительного раствора в кусковой форме,,"Строительные, ремонтные работы",,,,кусковая форма,IV,"В состав отхода может входить песок, цемент, известь, гипс, глина"
8 23 101 01 21 5,лом строительного кирпича незагрязненный,,"Строительные, ремонтные работы",Кирпич,,,кусковая форма,V,
8 23 201 01 21 5,"лом черепицы, керамики незагрязненный",,"Строительные, ремонтные работы",Керамика,,,кусковая форма,V,"В зависимости от применяемых материалов в состав отхода могут входить: алюмосиликаты, оксиды алюминия, карбиды вольфрама, оксиды кремния"
8 24 110 01 20 4,обрезь и лом гипсокартонных листов,,"строительные, ремонтные работы","Гипс
Картон",,,твердое ,IV,
8 24 110 02 20 4,лом пазогребневых плит незагрязненный,,"Строительные, ремонтные работы",Сульфат  кальция,,,твердое ,IV,
8 24 900 01 29 4,отходы шпатлевки,,"Строительные, ремонтные работы",,,,прочие формы твердых веществ,IV,"В зависимости от применяемых материалов в состав отхода могут входить масла, клеи, гипс, олифы, мел, тальк, пигменты (цинковые белила, охра)"
8 26 210 01 51 4,отходы рубероида,,"Строительные, ремонтные работы",Рубероид,,,изделие из одного материала,IV,
8 26 220 01 51 4,отходы толи,,"Строительные, ремонтные работы",Толь,,,изделие из одного материала,IV,
8 26 310 11 20 4,отходы изопласта незагрязненные,,"Строительные, ремонтные работы",Изопласт,,,твердое ,IV,
8 27 100 01 51 4,отходы линолеума незагрязненные,,"Строительные, ремонтные работы",Линолеум,,,изделие из одного материала,IV,
8 27 990 01 72 4,"смесь незагрязненных строительных материалов на основе полимеров, содержащая поливинилхлорид",,"Строительные, ремонтные работы",Поливинилхлорид,,,смесь твердых материалов (включая волокна) и изделий,IV,Виды полимерных материалов указывает производитель отхода
8 30 100 01 71 5,лом дорожного полотна автомобильных дорог (кроме отходов битума и асфальтовых покрытий),,"Демонтаж, ремонт автодорожных покрытий",,,,смесь твердых материалов (включая волокна),V,"В состав отхода может входить строительный грунт, щебень, гравий, битум, асфальт. 
"
8 30 200 01 71 4,лом асфальтовых и асфальтобетонных покрытий,,"Демонтаж, ремонт автодорожных покрытий",,,,смесь твердых материалов (включая волокна),IV,"В состав отхода может входить асфальт, битум, гравий, щебень, нефтяное масло"
8 41 000 01 51 3,"шпалы железнодорожные деревянные, пропитанные антисептическими средствами, отработанные",,"Демонтаж, ремонт железнодорожного путевого хозяйства","Древесина
",,,изделие из одного материала,III,"В состав отхода может входить креозот, сланцевое масло, каменноугольное масло, антисептические материалы"
8 42 101 01 21 3,"балласт из щебня, загрязненный нефтепродуктами (содержание нефтепродуктов 15 % и более)",,"Демонтаж, ремонт железнодорожного путевого хозяйства","Щебень
Нефтепродукты","
15",,кусковая форма,III,
8 42 101 02 21 4,"балласт из щебня, загрязненный нефтепродуктами (содержание нефтепродуктов менее 15 %)",,"Демонтаж, ремонт железнодорожного путевого хозяйства","Щебень
Нефтепродукты",,"
<15",кусковая форма,IV,
8 42 201 01 49 3,"отходы грунта, снятого при ремонте железнодорожного полотна, загрязненного нефтепродуктами, умеренно опасные",,"Демонтаж, ремонт железнодорожного путевого хозяйства","Грунт
Нефтепродукты","
15",,прочие сыпучие материалы,III,
8 42 201 02 49 4,"отходы грунта, снятого при ремонте железнодорожного полотна, загрязненного нефтепродуктами, малоопасные",,"Демонтаж, ремонт железнодорожного путевого хозяйства","Грунт
Нефтепродукты",,"
<15",прочие сыпучие материалы,IV,
8 90 000 01 72 4,отходы (мусор) от строительных и ремонтных работ,,"Строительные, ремонтные работы",,,,смесь твердых материалов (включая волокна) и изделий,IV,"Могут содержать древесину, цемент, песок, лом кирпича, бумагу, пластмассу, гипс, бетон, минеральную вату"
8 90 000 02 49 4,"отходы (остатки) песчано-гравийной смеси при строительных, ремонтных работах",,"Строительные, ремонтные работы","Песок
Гравий",,,прочие сыпучие материалы,IV,"Компонентный состав в соответствии с ГОСТ 23735-79 ""Смеси песчано-гравийные для строительных работ"" (гравий, песок). Отход может содержать примеси: ил, пыль, глину, мелкий строительный мусор и др."
8 91 110 01 52 3,"инструменты лакокрасочные (кисти, валики), загрязненные лакокрасочными материалами (в количестве 5 % и более)",,"Строительные, ремонтные работы","Лакокрасочные материалы
",5,"
",изделия из нескольких материалов,III,"Вид отходов для неидентифицированных лакокрасочных материалов. 
Состав отхода определяется применяемыми инструментами и материалами"
8 91 110 02 52 4,"инструменты лакокрасочные (кисти, валики), загрязненные лакокрасочными материалами (в количестве менее 5 %) ",,"Строительные, ремонтные работы","Лакокрасочные материалы
",,<5,изделия из нескольких материалов,IV,"Вид отходов для неидентифицированных лакокрасочных материалов. 
Состав отхода определяется применяемыми инструментами и материалами"
8 91 120 01 52 4,"шпатели отработанные, загрязненные штукатурными материалами ",,"Строительные, ремонтные работы","Штукатурные материалы
",,,изделия из нескольких материалов,IV,Состав отхода определяется применяемыми инструментами и материалами
8 92 011 01 60 4,"обтирочный материал, загрязненный лакокрасочными материалами на основе алкидных смол",,"Строительные, ремонтные работы","Текстиль
Алкидные смолы",,,"изделия
из волокон",III,Состав текстиля определяет производитель отхода. Алкидные смолы содержатся в форме пленки лакокрасочного материала
8 92 110 01 60 3,"обтирочный материал, загрязненный лакокрасочными материалами (в количестве 5 % и более)",,"Строительные, ремонтные работы","Текстиль
Лакокрасочные материалы","
5","
","изделия
из волокон",III,"Вид отходов для неидентифицированных лакокрасочных материалов. 
Состав текстиля определяет производитель отхода"
8 92 110 02 60 4,"обтирочный материал, загрязненный лакокрасочными материалами (в количестве менее 5 %)",,"Строительные, ремонтные работы","Текстиль
Лакокрасочные материалы",,"
<5","изделия
из волокон",IV,"Вид отходов для неидентифицированных лакокрасочных материалов. 
Состав текстиля определяет производитель отхода"
9 11 100 01 31 3,воды подсланевые  с содержанием нефти и нефтепродуктов более 15 %,Транспортирование  нефти и нефтепродуктов,Зачистка подсланевого пространства судов,"Нефтепродукты
Вода",15,,жидкое в жидком (эмульсия),III,
9 11 200 01 39 3,шлам очистки танков нефтеналивных судов,Эксплуатация машин для транспортирования  нефти и нефтепродуктов,"Зачистка и промывка оборудования для хранения, транспортирования и обработки нефти и нефтепродуктов","Нефтепродукты
Вода",,,прочие дисперсные системы,III,
9 11 200 02 39 3,шлам очистки емкостей и трубопроводов от нефти и нефтепродуктов,Эксплуатация оборудования для транспортирования  нефти и нефтепродуктов,"Зачистка и промывка оборудования для хранения, транспортирования и обработки нефти и нефтепродуктов","Нефтепродукты
Вода",,,прочие дисперсные системы,III,"Может содержать: асфальтены, ароматические углеводороды, метилмеркаптан, хлориды, сульфиды, сероводород"
9 11 210 01 31 3,смесь нефтепродуктов обводненная при зачистке маслосборника системы распределения масла,Эксплуатация оборудования для транспортирования  нефти и нефтепродуктов,Зачистка маслосборника системы распределения масла,"Вода
Нефтепродукты
Железо
Диоксид кремния
","
15",,жидкое в жидком (эмульсия),III,
9 12 110 01 21 4,лом футеровки миксеров алюминиевого производства,Обслуживание и ремонт печей и печного оборудования ,Обслуживание и ремонт миксеров алюминиевого производства,,,,кусковая форма,IV,
9 12 110 02 21 4,лом футеровки пламенных печей и печей переплава алюминиевого производства,Обслуживание и ремонт печей и печного оборудования ,Обслуживание и ремонт пламенных печей и печей переплава алюминиевого производства,,,,кусковая форма,IV,
9 12 110 03 21 4,лом футеровки разливочных и вакуумных ковшей алюминиевого производства,Обслуживание и ремонт печей и печного оборудования ,Обслуживание и ремонт разливочных и вакуумных ковшей алюминиевого производства,,,,кусковая форма,IV,
9 12 110 04 21 4,лом кирпичной футеровки алюминиевых электролизеров,Обслуживание и ремонт печей и печного оборудования ,Обслуживание и ремонт электролизеров алюминиевого производства,,,,кусковая форма,IV,
9 12 150 01 20 4,лом футеровок печей производств химических веществ и химических продуктов,Обслуживание и ремонт печей и печного оборудования ,"Обслуживание и ремонт печей производств кокса, нефтепродуктов, химических продуктов ","Диоксид кремния
Оксид алюминия",,,твердое ,IV,"Может содержать воду, а также (в пересчете на оксиды): MgO, TiO2, Fe2O3, CaO, K2O, Na2O, P2O5, в небольших количествах  S, Cl, Pb, углерод неорганический."
9 12 160 01 21 3,лом футеровки печи термического обезвреживания жидких отходов органического синтеза,Обслуживание и ремонт печей и печного оборудования ,Обслуживание и ремонт печей термического обезвреживания органических отходов,,,,кусковая форма,III,
9 12 181 01 21 5,лом шамотного кирпича незагрязненный,Обслуживание и ремонт печей и печного оборудования ,,,,,кусковая форма,V,
9 12 191 01 21 5,лом огнеупорного мертеля незагрязненный,Обслуживание и ремонт печей и печного оборудования ,,,,,кусковая форма,V,
9 13 001 01 20 4,лом кислотоупорного кирпича,"Обслуживание и ремонт оборудования, предназначенного для хранения агрессивных веществ",,,,,твердое ,IV,
9 13 002 01 62 4,лом углеграфитовых блоков,"Обслуживание и ремонт оборудования, предназначенного для хранения агрессивных веществ",,,,,изделия из нескольких волокон,IV,
9 13 009 01 62 4,лом кислотоупорных материалов в смеси,"Обслуживание и ремонт оборудования, предназначенного для хранения агрессивных веществ",,,,,изделия из нескольких волокон,IV,
9 18 302 01 31 3,конденсат водно-масляный компрессорных установок,Обслуживание насосов и компрессоров,Обслуживание компрессорных установок,"Вода
Нефтепродукты","
15",,жидкое в жидком (эмульсия),III,
9 18 302 02 31 4,эмульсия маслоловушек компрессорных установок,Обслуживание насосов и компрессоров,Обслуживание компрессорных установок,"Вода
Нефтепродукты",,"
<15",жидкое в жидком (эмульсия),IV,
9 19 100 01 20 5,остатки и огарки стальных сварочных электродов,Обслуживание машин и оборудования,Производство сварочных работ,"Железо
",,,твердое ,V,"Может содержать: графит, марганец, углерод, диоксид кремния"
9 19 100 02 20 4,шлак сварочный,Обслуживание машин и оборудования,Производство сварочных работ,,,,твердое ,IV,
9 19 201 01 39 3,"песок, загрязненный нефтью или нефтепродуктами (содержание нефти или нефтепродуктов 15 % и более)",Обслуживание машин и оборудования,Ликвидация проливов нефти и нефтепродуктов,"Песок
Нефтепродукты ","
15",,прочие дисперсные системы,III,
9 19 201 02 39 4,"песок, загрязненный нефтью или нефтепродуктами (содержание нефти или нефтепродуктов менее 15 %)",Обслуживание машин и оборудования,Ликвидация проливов нефти и нефтепродуктов,"Песок
Нефтепродукты ",,"
<15",прочие дисперсные системы,IV,
9 19 202 01 60 3,сальниковая набивка асбесто-графитовая промасленная (содержание масла 15 % и более),Обслуживание машин и оборудования,,Нефтепродукты ,15,,изделия из волокон,III,
9 19 202 02 60 4,сальниковая набивка асбесто-графитовая промасленная (содержание масла менее 15 %),Обслуживание машин и оборудования,,Нефтепродукты ,,<15,изделия из волокон,IV,
