City,Street,Lat,Long,Rating,Note1,Partner,Bonus,Materials
Зеленоград,"Яблоневая аллея, д. 2","55,679113","37,283875","4,5",Закроется в 22:00,Вкусвилл,100 бонусов за 1кг,Пластик; Бумага; Алюминий; Жесть; Стекло
Москва,"ул. Маршала Савицкого, д. 26, к. 2","55,67991","37,641845",,"Делаем все возможное, чтобы открыться как можно скорее!",Вкусвилл,100 бонусов за 1кг,Пластик; Бумага; Алюминий; Жесть; Стекло
Видное,"б-р Зеленые аллеи, д. 2","55,680955","37,565362","4,6",Закроется в 22:00,Вкусвилл,100 бонусов за 1кг,Пластик; Бумага; Алюминий; Жесть; Стекло
Серпухов,"ш. Московское, д. 51","55,6819074935974","37,6964329656063","4,7",Закроется в 22:00,Вкусвилл,100 бонусов за 1кг,Пластик; Бумага; Алюминий; Жесть; Стекло
Москва,"ул. Енисейская, д. 11","55,682392","37,855572","4,7",Закроется в 22:00,Вкусвилл,100 бонусов за 1кг,Пластик; Бумага; Алюминий; Жесть; Стекло
Москва,"ул. Авангардная, д. 16","55,682463","37,702589","4,8",Закроется в 22:00,Вкусвилл,100 бонусов за 1кг,Пластик; Бумага; Алюминий; Жесть; Стекло
Видное,"ул. Радужная, д. 2","55,686239","37,303926","4,7",Закроется в 22:00,Вкусвилл,100 бонусов за 1кг,Пластик; Бумага; Алюминий; Жесть; Стекло
Подольск,ул. Советская 22/49,"55,687304","37,918589","4,7",Закроется в 21:00,Вкусвилл,100 бонусов за 1кг,Пластик; Бумага; Алюминий; Жесть; Стекло
Москва,"пр-т Мичуринский, д. 16","55,687406","37,543264",,,Вкусвилл,100 бонусов за 1кг,Пластик; Бумага; Алюминий; Жесть; Стекло
Балашиха,"ул. Смельчак, д. 17","55,688862","37,912202",,Спешим открыться 25 октября!,Вкусвилл,100 бонусов за 1кг,Пластик; Бумага; Алюминий; Жесть; Стекло
Жуковский,ул. Гудкова 21,"55,69112","37,727921","4,8",Закроется в 22:00,Вкусвилл,100 бонусов за 1кг,Пластик; Бумага; Алюминий; Жесть; Стекло
Москва,"ул. Куусинена, д. 4, корп. 1","55,691384","37,862094","4,8",Закроется в 23:00,Вкусвилл,100 бонусов за 1кг,Пластик; Бумага; Алюминий; Жесть; Стекло
Москва,"ул. Римского-Корсакова, д. 18","55,696001","37,335627","4,6",Закроется в 22:00,Вкусвилл,100 бонусов за 1кг,Пластик; Бумага; Алюминий; Жесть; Стекло
Москва,"пос.Первомайское, ул.Рабочая, д. 11, стр. 2","55,697732","37,786132",,Спешим открыться как можно скорее!,Вкусвилл,100 бонусов за 1кг,Пластик; Бумага; Алюминий; Жесть; Стекло
Красногорск,"б-р Павшинский, д. 30","55,697879","37,961897","4,3",Закроется в 22:00,Вкусвилл,100 бонусов за 1кг,Пластик; Бумага; Алюминий; Жесть; Стекло
Ступино,"ул. Андропова, д. 35","55,700233","37,892412","4,7",Закроется в 22:00,Вкусвилл,100 бонусов за 1кг,Пластик; Бумага; Алюминий; Жесть; Стекло
Москва,"ш. Рублевское, д. 62","55,701364","37,751529",,,Вкусвилл,100 бонусов за 1кг,Пластик; Бумага; Алюминий; Жесть; Стекло
Люберцы,"пр-т Победы, д. 10/18","55,703119","37,506047",,,Вкусвилл,100 бонусов за 1кг,Пластик; Бумага; Алюминий; Жесть; Стекло
Москва,"ул. Дубнинская, д. 2, к. 2","55,703256","37,9199","4,7",Закроется в 22:00,Вкусвилл,100 бонусов за 1кг,Пластик; Бумага; Алюминий; Жесть; Стекло
Электроугли,"ул. Школьная, д. 38","55,703505","37,662713",5,Закроется в 21:00,Вкусвилл,100 бонусов за 1кг,Пластик; Бумага; Алюминий; Жесть; Стекло
Раменское,"ул. Космонавтов, д. 1В к.","55,704042","37,46114","4,5",Закроется в 21:00,Вкусвилл,100 бонусов за 1кг,Пластик; Бумага; Алюминий; Жесть; Стекло
Москва,"ул. Голубинская, д. 32/2","55,704555","37,321299","4,9",Закроется в 22:00,Вкусвилл,100 бонусов за 1кг,Пластик; Бумага; Алюминий; Жесть; Стекло
Люберцы,"Октябрьский пр-т, д. 304","55,704803","37,576232","4,7",Закроется в 22:00,Вкусвилл,100 бонусов за 1кг,Пластик; Бумага; Алюминий; Жесть; Стекло
Москва,"г. Москва, Усачева, 29к1","55,705239","37,763108","4,6",Закроется в 23:45,Вкусвилл,100 бонусов за 1кг,Пластик; Бумага; Алюминий; Жесть; Стекло
Москва,"Авиамоторная, 10к1","55,705924","37,931749","4,6",Закроется в 23:45,Вкусвилл,100 бонусов за 1кг,Пластик; Бумага; Алюминий; Жесть; Стекло
Москва,"ст. Бирюлёво-Тов., ул. Элеваторная, д. 12, корп. 2","55,708587","37,58667","4,6",Закроется в 22:00,Вкусвилл,100 бонусов за 1кг,Пластик; Бумага; Алюминий; Жесть; Стекло
Домодедово,"ул. Кирова, д. 9, корп. 1","55,715297","37,676906","4,6",Закроется в 21:30,Вкусвилл,100 бонусов за 1кг,Пластик; Бумага; Алюминий; Жесть; Стекло
Клин,"ул. Миши Балакирева, д. 6\24, помещение 2А","55,716286","37,660368","4,5",Закроется в 22:00,Вкусвилл,100 бонусов за 1кг,Пластик; Бумага; Алюминий; Жесть; Стекло
Москва,"проспект Комсомольский, д. 17","55,7177899095394","37,4614251534423","4,1",Закроется в 22:00,Вкусвилл,100 бонусов за 1кг,Пластик; Бумага; Алюминий; Жесть; Стекло
Москва,"ул. Большая Филевская, д. 4","55,717847","37,512191","4,7",Закроется в 23:00,Вкусвилл,100 бонусов за 1кг,Пластик; Бумага; Алюминий; Жесть; Стекло
Москва,"ул. Молостовых, д. 3Б","55,732413","37,640857","4,5",Закроется в 22:00,Вкусвилл,100 бонусов за 1кг,Пластик; Бумага; Алюминий; Жесть; Стекло
Москва,"район Куркино, ул. Соколово-Мещерская, д. 25","55,732509","37,636841","4,6",Закроется в 22:00,Вкусвилл,100 бонусов за 1кг,Пластик; Бумага; Алюминий; Жесть; Стекло
Москва,"пер. Новоподмосковный 2-й, д. 3","55,73296","37,663099","4,7",Закроется в 22:00,Вкусвилл,100 бонусов за 1кг,Пластик; Бумага; Алюминий; Жесть; Стекло
Долгопрудный,"пр-т Ракетостроителей, д. 1","55,734597","37,831964","4,5",Закроется в 22:00,Вкусвилл,100 бонусов за 1кг,Пластик; Бумага; Алюминий; Жесть; Стекло
Москва,"Ленинский проспект, д. 7","55,737061","37,468183","4,5",Закроется в 22:00,Вкусвилл,100 бонусов за 1кг,Пластик; Бумага; Алюминий; Жесть; Стекло
Москва,"ул. 1-я Останкинская, д. 23","55,737076","37,525854","4,4",Закроется в 22:00,Вкусвилл,100 бонусов за 1кг,Пластик; Бумага; Алюминий; Жесть; Стекло
Раменское,"ш. Северное, д. 4","55,738216","37,829171","4,6",Закроется в 22:00,Вкусвилл,100 бонусов за 1кг,Пластик; Бумага; Алюминий; Жесть; Стекло
Москва,"ул. Академика Виноградова, д. 5","55,738916","37,584649",,,Вкусвилл,100 бонусов за 1кг,Пластик; Бумага; Алюминий; Жесть; Стекло
Москва,"проспект Ленинградский, д. 62","55,740588","37,501285","4,8",Закроется в 22:00,Вкусвилл,100 бонусов за 1кг,Пластик; Бумага; Алюминий; Жесть; Стекло
Москва,"ул. 8 Марта, д. 8, к. 1","55,741698","37,593542",,,Вкусвилл,100 бонусов за 1кг,Пластик; Бумага; Алюминий; Жесть; Стекло
Москва,"пр-т Маршала Жукова, д. 39, к. 1","55,742656","37,653218",,,Вкусвилл,100 бонусов за 1кг,Пластик; Бумага; Алюминий; Жесть; Стекло
Москва,"б-р Андрея Тарковского, д. 1","55,742975","37,492419",,,Вкусвилл,100 бонусов за 1кг,Пластик; Бумага; Алюминий; Жесть; Стекло
Чехов,"ул. Земская, д. 3","55,745103","36,87684","4,9",Закроется в 22:00,Вкусвилл,100 бонусов за 1кг,Пластик; Бумага; Алюминий; Жесть; Стекло
Королев,"мкр-н Болшево, Станционная площадь, д. 4 лит. Б","55,745184","37,789573","4,7",Закроется в 22:00,Вкусвилл,100 бонусов за 1кг,Пластик; Бумага; Алюминий; Жесть; Стекло
Раменское,"ул.Михалевича, д.5","55,747424","37,70708","4,5",Закроется в 21:00,Вкусвилл,100 бонусов за 1кг,Пластик; Бумага; Алюминий; Жесть; Стекло
Шатура,"пр-т Ильича, д. 55","55,749927","37,71883","4,9",Закроется в 22:00,Вкусвилл,100 бонусов за 1кг,Пластик; Бумага; Алюминий; Жесть; Стекло
п. Тучково,"ул. Партизан, д. 15/2","55,7509","38,002276",,Закроется в 22:00,Вкусвилл,100 бонусов за 1кг,Пластик; Бумага; Алюминий; Жесть; Стекло
Химки,"ул. Новозаводская, д. 10А","55,750945","37,596525","4,8",Закроется в 22:00,Вкусвилл,100 бонусов за 1кг,Пластик; Бумага; Алюминий; Жесть; Стекло
Павловский Посад,"ул. Герцена, д. 12","55,751492","38,117494",,Спешим открыться 26 октября!,Вкусвилл,100 бонусов за 1кг,Пластик; Бумага; Алюминий; Жесть; Стекло
Москва,"Совхозная, д.41","55,751959","38,009202","4,5",Закроется в 23:45,Вкусвилл,100 бонусов за 1кг,Пластик; Бумага; Алюминий; Жесть; Стекло
Москва,"ул. Игральная, д. 10","55,753109","37,590192","4,6",Закроется в 22:00,Вкусвилл,100 бонусов за 1кг,Пластик; Бумага; Алюминий; Жесть; Стекло
Балашиха,"ул. Свердлова, д. 23","55,753686","37,513143",,Уже скоро на один магазин в Балашихе станет больше!,Вкусвилл,100 бонусов за 1кг,Пластик; Бумага; Алюминий; Жесть; Стекло
Видное,"Советский пр., д.4","55,754355","37,831362","4,9",Закроется в 22:00,Вкусвилл,100 бонусов за 1кг,Пластик; Бумага; Алюминий; Жесть; Стекло
Москва,"ул. Лебедянская, д. 19, к. 1","55,755074","37,954764",,,Вкусвилл,100 бонусов за 1кг,Пластик; Бумага; Алюминий; Жесть; Стекло
Москва,"ул. 26 Бакинских Комиссаров, д. 8, корп. 2","55,75511","37,656523","4,6",Закроется в 22:00,Вкусвилл,100 бонусов за 1кг,Пластик; Бумага; Алюминий; Жесть; Стекло
Москва,"105005, Москва г, Фридриха Энгельса ул, дом № 3-5, строение 4","55,757379","37,697837",,Спешим открыться 8 октября!,Вкусвилл,100 бонусов за 1кг,Пластик; Бумага; Алюминий; Жесть; Стекло
Балашиха,"микрорайон 1 Мая, д. 17","55,759086","37,521093","4,5",Закроется в 22:00,Вкусвилл,100 бонусов за 1кг,Пластик; Бумага; Алюминий; Жесть; Стекло
Москва,"б-р Смоленский, д. 1/2","55,759608","37,658275","4,4",Закроется в 22:00,Вкусвилл,100 бонусов за 1кг,Пластик; Бумага; Алюминий; Жесть; Стекло
Москва,"ул. Миля Авиаконструктора, д. 14","55,759856","37,610548","4,8",Закроется в 22:00,Вкусвилл,100 бонусов за 1кг,Пластик; Бумага; Алюминий; Жесть; Стекло
Москва,"ул. Митинская, д. 36","55,761315","37,650603","4,7",Закроется в 23:45,Вкусвилл,100 бонусов за 1кг,Пластик; Бумага; Алюминий; Жесть; Стекло
Москва,"ул. Верхняя Масловка, д.21","55,761381","37,570186","4,6",Закроется в 23:45,Вкусвилл,100 бонусов за 1кг,Пластик; Бумага; Алюминий; Жесть; Стекло
Мытищи,ул. Фабричная 6А,"55,762753","37,600253","4,8",Закроется в 22:00,Вкусвилл,100 бонусов за 1кг,Пластик; Бумага; Алюминий; Жесть; Стекло
Москва,"ул. Радиальная 6-ая, д. 5, к. 4","55,764187","37,656092",,,Вкусвилл,100 бонусов за 1кг,Пластик; Бумага; Алюминий; Жесть; Стекло
Домодедово,"пр-т Академика Туполева, д. 2","55,765281","37,485987","4,8",Закроется в 22:00,Вкусвилл,100 бонусов за 1кг,Пластик; Бумага; Алюминий; Жесть; Стекло
Красногорск,"ул. Вокзальная, д. 20","55,766212","37,380875",,,Вкусвилл,100 бонусов за 1кг,Пластик; Бумага; Алюминий; Жесть; Стекло
Москва,"пл. Семеновская, д. 7, к. 17","55,766309","37,590623","4,7",Закроется в 22:00,Вкусвилл,100 бонусов за 1кг,Пластик; Бумага; Алюминий; Жесть; Стекло
Москва,"ул. Авиамоторная, д. 47","55,767924","37,648412","4,5",Закроется в 22:00,Вкусвилл,100 бонусов за 1кг,Пластик; Бумага; Алюминий; Жесть; Стекло
Балашиха,"пр-т Ленина, д. 72","55,768324","38,43088","4,8",Закроется в 22:00,Вкусвилл,100 бонусов за 1кг,Пластик; Бумага; Алюминий; Жесть; Стекло
Москва,"ш. Каширское, д. 26, к. 2","55,769717","37,407492",,,Вкусвилл,100 бонусов за 1кг,Пластик; Бумага; Алюминий; Жесть; Стекло
Орехово-Зуево,"ул. Бирюкова, д. 2","55,770552","37,622657","4,7",Закроется в 22:00,Вкусвилл,100 бонусов за 1кг,Пластик; Бумага; Алюминий; Жесть; Стекло
Москва,"ул. Судакова, д. 17","55,771287","37,846831",,Закроется в 22:00,Вкусвилл,100 бонусов за 1кг,Пластик; Бумага; Алюминий; Жесть; Стекло
Москва,"ул. Ботаническая, д. 27","55,771459","37,632898","4,7",Закроется в 22:00,Вкусвилл,100 бонусов за 1кг,Пластик; Бумага; Алюминий; Жесть; Стекло
Москва,Осенний бульвар д. 7 к.1,"55,771808","37,603577","4,8",Закроется в 23:30,Вкусвилл,100 бонусов за 1кг,Пластик; Бумага; Алюминий; Жесть; Стекло
Москва,"ш. Варшавское, д. 86А","55,771915","37,679799",,,Вкусвилл,100 бонусов за 1кг,Пластик; Бумага; Алюминий; Жесть; Стекло
Москва,"ш. Челобитьевское, д. 12, к. 4","55,773044","37,63288",,,Вкусвилл,100 бонусов за 1кг,Пластик; Бумага; Алюминий; Жесть; Стекло
п. ВНИИССОК,"ул. Березовая, д. 6","55,774948","37,67298","4,8",Закроется в 23:00,Вкусвилл,100 бонусов за 1кг,Пластик; Бумага; Алюминий; Жесть; Стекло
